XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
410.5000,767.231,760.687,753.75,750.936,740.312,731.878,721.648,708.154,700.49,691.138,688.966
411.0000,749.998,743.939,737.281,733.793,724.455,715.04,705.791,692.508,685.039,675.806,674.227
411.5000,735.829,730.269,723.417,719.901,710.866,701.643,692.587,679.363,672.728,663.597,661.897
412.0000,720.963,714.975,708.425,704.918,696.735,687.009,678.622,665.898,659.135,650.086,648.285
412.5000,704.961,699.559,692.588,689.341,681.403,671.431,663.584,651.239,644.439,635.514,633.549
413.0000,690.343,685.441,678.255,675.405,667.195,657.561,649.656,637.712,630.929,622.594,620.388
413.5000,677.19,672.225,665.234,662.629,654.675,645.032,637.347,625.439,619.266,610.763,608.534
414.0000,661.807,657.014,650.69,647.541,639.905,630.437,622.855,611.23,605.511,597.63,594.84
414.5000,651.054,645.819,639.527,636.887,629.087,619.563,612.18,600.875,595.082,587.366,584.757
415.0000,636.247,631.489,625.143,622.715,614.935,605.677,598.223,587.688,581.509,573.854,571.564
415.5000,624.247,619.174,613.697,610.438,603.227,594.387,587.264,576.686,570.693,563.206,560.935
416.0000,610.815,606.164,601.14,598.271,590.352,582.078,575.041,564.446,558.752,551.334,549.197
416.5000,596.707,592.727,587.437,584.634,576.851,568.619,561.766,551.691,545.956,538.712,536.704
417.0000,585.13,581.176,575.667,573.373,565.769,557.842,551.021,541.185,535.458,528.427,526.406
417.5000,572.615,568.942,563.322,561.458,553.588,545.612,539.286,529.993,523.919,517.281,514.99
418.0000,559.518,555.322,550.586,548.198,540.714,532.816,527.007,518.233,512.123,505.499,503.394
418.5000,548.834,544.991,539.86,537.751,530.648,522.7,517.057,508.62,502.38,495.865,493.941
419.0000,537.562,533.32,528.271,526.726,518.908,511.978,506.329,498.352,491.834,485.421,483.764
419.5000,525.213,520.842,516.081,514.812,507.057,500.458,494.724,486.985,480.347,473.805,472.076
420.0000,513.948,509.161,505.115,503.785,496.445,489.674,484.123,476.564,470.272,463.759,461.908
420.5000,503.916,499.116,495.382,494.231,486.742,479.966,474.719,467.466,461.113,454.743,452.918
421.0000,491.649,487.224,483.658,482.713,475.613,468.376,463.642,456.776,450.119,444.019,442.47
421.5000,483.015,478.614,474.721,474.192,467.114,460.287,455.164,448.986,442.214,436.299,434.6
422.0000,471.757,467.235,463.54,462.809,456.237,449.331,444.79,438.339,431.722,426.471,424.831
422.5000,460.684,455.926,452.461,452.022,445.781,438.963,434.602,427.863,421.595,416.864,414.795
423.0000,452.253,447.806,444.492,444.035,438.143,431.306,426.819,420.03,414.303,409.398,407.633
423.5000,441.844,437.597,433.62,433.186,428.097,420.839,416.756,410.168,404.466,399.708,398.113
424.0000,433.165,429.147,424.92,424.965,419.383,412.663,408.639,402.049,396.463,391.917,390.311
424.5000,423.666,419.97,415.643,415.583,410.177,403.58,399.909,393.321,388.024,383.735,381.605
425.0000,413.575,410.151,406.041,405.775,400.705,394.108,390.005,383.965,379.042,374.495,372.707
425.5000,405.389,401.572,397.895,397.649,393.063,386.204,382.741,376.217,371.881,367.051,365.268
426.0000,396.532,392.589,389.123,388.989,384.491,377.974,374.307,367.8,363.852,358.97,357.284
426.5000,387.044,383.416,379.519,380.062,375.363,369.255,365.359,358.781,355.439,350.562,348.831
427.0000,379.262,375.94,372.11,372.324,367.858,361.988,358.13,351.754,348.44,343.567,341.737
427.5000,371.001,367.79,363.622,364.103,359.787,353.98,350.195,343.916,340.862,335.962,333.907
428.0000,362.095,358.868,354.86,355.515,351.187,345.617,341.569,335.773,332.931,328.08,325.882
428.5000,354.996,351.801,347.673,348.597,343.694,338.77,334.856,328.884,326.423,321.491,319.217
429.0000,347.235,343.948,340.025,340.711,336.044,331.342,327.297,321.891,319.016,314.232,312.084
429.5000,338.252,335.603,332.118,332.569,328.023,323.343,319.607,313.892,311.227,306.573,304.527
430.0000,331.585,328.702,325.411,325.919,321.217,316.595,313.329,307.51,304.974,300.488,298.566
430.5000,324.267,320.997,318.145,318.562,314.172,309.393,306.377,300.697,298.44,293.775,291.842
431.0000,316.473,313.384,310.564,310.933,306.682,302.07,299.134,293.609,291.127,286.766,284.901
431.5000,310.173,307.2,304.248,304.73,300.48,296.023,293.04,287.701,285.313,281.056,279.265
432.0000,303.223,300.282,297.472,297.84,294.027,289.431,286.377,281.123,278.868,275.031,273.049
432.5000,295.716,292.731,290.028,290.595,286.787,282.385,279.427,274.101,271.835,268.333,266.371
433.0000,289.755,286.914,284.038,284.727,281.288,276.739,273.606,268.54,266.2,263.17,260.984
433.5000,283.238,280.684,277.638,278.398,275.061,270.53,267.262,262.494,260.166,256.95,254.966
434.0000,276.19,273.643,270.896,271.573,268.365,263.9,260.777,256.123,253.906,250.856,248.996
434.5000,270.418,268.178,265.517,266.112,262.945,258.624,255.368,251.008,248.75,246.006,243.847
435.0000,264.184,262.215,259.597,260,257.065,252.869,249.648,245.183,243.012,240.586,238.493
435.5000,257.436,256,252.869,253.526,250.927,246.741,243.323,238.876,236.884,234.924,232.517
436.0000,251.89,250.457,247.564,248.345,245.759,241.5,238.243,233.931,232.205,230.112,227.539
436.5000,246.015,244.709,242.071,242.671,240.45,235.795,232.721,228.476,227.135,224.959,222.373
437.0000,239.761,238.69,236.213,236.559,234.676,229.953,226.654,222.816,221.568,219.697,217.109
437.5000,234.866,233.995,231.18,231.758,229.76,225.288,222.029,218.272,217.049,215.182,212.614
438.0000,229.465,228.837,226,226.541,224.559,220.238,216.885,213.266,212.16,210.172,207.723
438.5000,224.04,223.097,220.426,220.905,218.81,214.897,211.404,208.001,206.995,204.939,202.395
439.0000,219.204,218.375,215.87,216.275,214.41,210.365,207.213,203.626,202.899,200.528,198.226
439.5000,213.924,213.396,210.895,211.415,209.687,205.771,202.448,198.975,198.339,195.816,193.682
440.0000,208.461,208.118,205.593,206.086,204.555,200.486,197.483,194.067,193.308,191.004,188.866
440.5000,204.072,203.689,201.297,201.817,200.03,196.091,193.252,189.986,189.185,187.102,185.145
441.0000,199.29,198.923,196.821,197.439,195.294,191.667,188.861,185.506,185.149,183.003,180.877
441.5000,194.35,193.994,192.113,192.382,190.527,186.919,184.385,181.034,180.454,178.339,176.261
442.0000,190.206,189.919,188.09,188.43,186.369,182.96,180.413,177.187,176.603,174.754,172.834
442.5000,185.832,185.605,183.769,183.99,182.153,178.733,176.359,173.38,172.465,170.766,168.76
443.0000,181.193,181.224,179.169,179.557,177.458,174.293,171.892,169.171,168.062,166.24,164.519
443.5000,177.394,177.526,175.56,175.515,173.751,170.487,168.25,165.76,164.408,162.649,161.112
444.0000,173.044,173.146,171.247,171.178,169.676,166.25,164.149,161.925,160.294,158.844,157.241
444.5000,169.247,168.91,166.927,167.067,165.602,162.167,160.335,158.189,156.387,155.185,153.495
445.0000,164.901,164.882,162.881,163.215,161.327,157.978,156.322,154.344,152.369,151.341,149.726
445.5000,161.408,161.333,159.7,159.736,157.861,154.668,153.199,151.133,149.234,148.11,146.75
446.0000,157.596,157.48,155.907,155.851,154.271,151.156,149.722,147.685,145.809,144.725,143.406
446.5000,153.681,153.61,152.085,152.158,150.226,147.351,146.12,144.001,142.356,141.153,139.737
447.0000,150.378,150.456,148.64,148.84,146.997,144.266,143.045,141.068,139.267,138.221,136.834
447.5000,146.766,146.95,145.003,145.493,143.507,140.917,139.6,137.749,135.965,135.067,133.707
448.0000,143.075,143.495,141.438,142.099,139.723,137.443,136.037,134.371,132.506,131.796,130.252
448.5000,140.165,140.336,138.451,139.134,136.758,134.4,133.188,131.439,129.711,129.139,127.629
449.0000,136.673,136.862,135.195,135.926,133.589,131.264,130.123,128.449,126.826,126.075,124.716
449.5000,133.254,133.476,131.743,132.463,129.972,127.778,127.031,125.07,123.87,122.966,121.671
