XYDATA,BFII_nolipid-no_12-15-25-1,BFII_nolipid-no_12-15-25-2,BFII_nolipid-no_12-15-25-3,BFII_nolipid-no_12-15-25-4,BFII_nolipid-no_12-15-25-5,BFII_nolipid-no_12-15-25-6,BFII_nolipid-no_12-15-25-7,BFII_nolipid-no_12-15-25-8,BFII_nolipid-no_12-15-25-9,BFII_nolipid-no_12-15-25-10,BFII_nolipid-no_12-15-25-11
402.5000,910.109,861.129,692.99,766.996,785.245,786.98,781.718,769.958,762.364,751.728,753.591
403.0000,890.894,843.19,678.648,751.337,768.942,770.866,765.642,754.1,746.294,736.686,738.238
403.5000,874.101,827.479,665.544,737.468,754.618,756.463,750.822,739.633,731.767,722.824,724.052
404.0000,858.975,813.019,653.837,724.412,741.481,743.223,738.076,726.907,719.266,710.588,711.538
404.5000,843.938,799.284,642.858,711.681,728.795,730.578,725.119,714.412,706.506,698.421,699.353
405.0000,827.678,784.017,630.752,698.313,714.919,716.625,711.212,700.908,692.953,685.107,686.435
405.5000,810.067,767.701,617.374,683.506,699.583,701.502,696.456,686.192,678.453,670.618,671.674
406.0000,795.593,754.1,605.879,671.602,686.896,689.225,684.057,673.969,666.094,658.568,659.581
406.5000,780.542,738.97,593.769,658.309,673.284,675.962,670.669,660.878,652.93,645.821,646.532
407.0000,763.87,722.96,580.875,644.311,659.074,660.992,656.369,646.707,638.749,631.832,632.919
407.5000,748.936,708.287,569.331,631.698,646.458,648.13,643.58,633.8,626.088,619.087,620.014
408.0000,735.244,695.202,559.3,620.483,634.617,636.749,631.954,622.213,614.659,608.306,608.829
408.5000,718.876,679.733,547.729,606.821,620.847,623.374,618.574,610.285,601.916,594.905,595.676
409.0000,707.349,668.396,538.668,596.514,611.247,613.306,608.894,599.93,591.967,585.246,586.146
409.5000,691.75,653.878,526.778,583.503,597.84,599.856,596.128,586.388,579.484,572.701,573.846
410.0000,679.054,641.721,517.1,572.74,586.715,588.982,585.313,575.604,569.091,562.893,563.224
410.5000,665.711,628.599,506.266,561.485,575.152,576.996,573.106,564.284,558.016,551.696,552.253
411.0000,650.94,615.37,494.817,548.982,562.301,564.563,560.795,551.922,545.781,539.547,540.332
411.5000,638.709,603.877,485.732,539.458,551.905,553.794,550.28,541.819,535.998,529.841,530.398
412.0000,625.744,591.765,475.833,528.735,540.808,542.534,538.727,530.83,524.784,519.162,519.856
412.5000,611.944,578.532,465.055,516.985,529.031,530.715,526.718,519.186,512.825,507.782,508.269
413.0000,599.546,566.655,455.507,506.418,518.248,519.912,516.548,508.814,502.454,497.51,497.561
413.5000,587.942,556.115,446.982,497.192,508.827,510.07,506.574,499.16,493.113,487.981,488.372
414.0000,574.673,543.82,436.667,485.998,497.054,498.644,495.494,488.018,482.385,477.534,477.256
414.5000,564.603,534.735,429.241,477.913,488.739,490.374,487.019,479.782,474.094,469.515,469.182
415.0000,551.516,522.462,419.336,467.034,477.951,479.557,475.733,469.123,463.639,458.803,458.648
415.5000,541.068,512.521,411.764,458.518,469.325,470.396,466.574,460.642,454.938,450.119,449.874
416.0000,529.578,501.728,403.354,449.089,459.455,460.454,456.695,451.313,445.469,441.237,440.437
416.5000,517.346,490.253,393.887,438.633,448.925,449.753,446.516,440.872,435.123,431.128,430.497
417.0000,507.461,481.12,386.31,430.034,440.389,441.173,438.069,432.504,426.942,422.898,421.93
