XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
400.0000,1121.4,1116.51,1104.57,1098.51,1073.43,1068.17,1067.03,1056.34,1050.94,1039.48,1019.75
400.5000,1102.14,1097.92,1086.22,1079.92,1055.45,1050.12,1048.93,1038.62,1033.51,1021.21,1002.4
401.0000,1081.92,1077.66,1065.91,1059.66,1035.82,1030.4,1029.43,1019.52,1013.95,1002.28,983.719
401.5000,1059.94,1056.25,1044.48,1038.5,1014.8,1009.59,1008.54,999.073,993.638,982.106,964.074
402.0000,1039.54,1036.7,1024.85,1018.66,995.826,991.272,989.49,980.665,975.148,964.07,945.866
402.5000,1021.47,1019,1007.27,1001.29,979.266,973.787,972.641,963.773,958.462,947.64,929.486
403.0000,1000.55,997.684,986.628,980.033,959.151,953.609,952.237,944.349,938.409,928.283,910.96
403.5000,981.709,978.892,967.812,960.874,941.163,935.246,933.753,925.814,920.742,910.788,894.042
404.0000,964.289,961.788,951.221,943.82,924.861,918.979,917.01,909.443,904.381,894.835,878.441
404.5000,947.704,944.824,934.968,927.022,908.592,902.89,901.059,893.633,888.819,879.745,863.147
405.0000,928.958,926.546,916.889,908.817,891.149,885.608,883.538,876.427,871.241,862.77,846.424
405.5000,909.021,906.751,897.204,889.521,872.36,866.335,864.836,857.912,853.309,844.739,828.117
406.0000,892.819,890.589,881.85,873.774,856.554,850.703,849.549,842.191,838.275,830.071,813.482
406.5000,875.271,873.081,864.576,856.758,839.917,833.667,832.384,825.607,822.023,814.136,797.202
407.0000,856.483,854.146,846.472,838.328,822.244,815.999,814.316,808.299,803.773,796.398,780.055
407.5000,839.357,837.198,830.087,821.989,806.372,800.103,797.623,792.637,788.046,780.582,764.683
408.0000,823.9,822.02,815.028,807.542,791.524,785.742,782.662,778.055,773.661,766.69,751.101
408.5000,806.127,803.966,797.39,790.072,774.431,768.617,765.518,761.23,757.228,750.514,735.266
409.0000,792.268,790.364,784.233,777.335,761.887,756.006,752.479,748.496,744.895,738.415,722.989
409.5000,775.517,773.294,766.728,760.301,744.939,739.625,736.239,732.741,728.715,722.4,707.717
410.0000,761.384,758.915,752.806,746.433,731.529,725.619,723.214,719.422,715.149,709.579,694.794
410.5000,746.383,743.174,737.622,731.492,717.017,711.118,708.734,705.353,700.667,695.49,680.595
411.0000,729.821,726.741,720.967,715.546,700.996,694.996,693.213,689.309,685.995,680.13,665.812
411.5000,716.079,713.311,707.28,702.043,687.934,682.189,680.506,676.78,673.424,667.869,653.469
412.0000,701.704,699.157,692.822,687.466,673.918,668.192,666.901,663.067,659.893,654.156,640.309
412.5000,686.356,683.815,677.654,672.4,659.031,653.554,651.733,647.61,645.285,639.425,626.321
413.0000,672.148,670.154,663.878,658.696,645.863,640.15,638.104,634.269,632.06,626.479,613.512
413.5000,659.998,657.815,651.455,646.23,633.777,628.263,626.025,622.128,620.159,614.788,601.636
414.0000,645.072,642.925,636.995,631.56,619.553,614.208,611.697,607.855,606.098,600.574,588.211
414.5000,634.216,631.713,626.081,620.539,609.13,603.685,602.025,597.209,595.672,590.325,578.356
415.0000,619.916,617.778,611.772,605.964,595.294,589.456,588.072,584.149,582.039,576.474,565.578
415.5000,608.099,605.899,600.142,594.592,584.066,578.318,577.209,572.993,571.133,565.513,554.589
