XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1
430.0000,262.802,265.546,259.319,255.901,250.444,242.02,234.895
430.5000,256.762,259.431,253.445,250.2,245.167,236.847,229.614
431.0000,250.549,253.039,246.919,244.167,239.317,231.166,224.089
431.5000,245.29,247.839,241.858,239.23,234.609,226.533,219.674
432.0000,239.606,242.381,236.458,233.896,229.5,221.558,214.714
432.5000,233.758,236.547,230.504,228.209,224.047,216.423,209.599
433.0000,228.8,231.738,225.858,223.369,219.759,212.228,205.491
433.5000,223.481,226.499,220.971,218.247,214.95,207.681,200.816
434.0000,217.925,221.001,215.658,212.966,209.771,202.574,196.262
434.5000,213.152,216.353,211.475,208.583,205.816,198.291,192.339
435.0000,208.468,211.481,206.766,204.013,201.03,193.754,188.228
435.5000,203.414,206.423,201.822,199.137,196.324,189.028,183.656
436.0000,198.981,202.34,197.428,194.838,192.443,185.276,179.773
436.5000,194.55,197.703,193.125,190.305,188.277,181.306,175.746
437.0000,189.929,192.548,188.43,185.367,183.991,176.762,171.361
437.5000,186.051,188.784,184.62,181.711,180.627,173.075,167.988
438.0000,181.945,184.654,180.687,177.403,176.739,169.108,164.196
438.5000,177.306,180.088,176.422,173.148,172.45,165.097,160.006
439.0000,173.611,176.416,172.864,169.57,168.958,161.713,156.954
439.5000,169.504,172.334,168.975,165.651,165.326,157.836,153.599
440.0000,165.307,168.023,164.868,161.493,161.527,153.934,149.943
440.5000,161.878,164.614,161.461,158.375,158.518,150.857,146.97
441.0000,158.176,161.019,157.871,154.947,155.077,147.701,143.567
441.5000,154.277,157.088,153.893,151.297,151.49,143.978,140.123
442.0000,151.309,153.651,150.751,148.241,148.552,141.144,137.455
442.5000,147.75,150.097,147.298,144.928,145.382,137.957,134.464
443.0000,144.209,146.268,143.513,141.342,141.934,134.51,131.318
443.5000,141.136,143.179,140.642,138.339,139.349,131.792,128.745
444.0000,137.713,139.781,137.38,135.045,136.422,128.676,125.84
444.5000,134.378,136.529,134.289,131.871,133.373,125.717,123.043
445.0000,130.939,133.283,130.788,128.407,130.315,122.811,120.237
445.5000,128.235,130.503,128.071,125.832,127.81,120.284,117.778
446.0000,125.096,127.387,125.19,122.854,124.982,117.49,115.292
446.5000,121.818,124.17,121.957,120.019,122.154,114.803,112.474
447.0000,119.314,121.63,119.412,117.458,119.785,112.615,110.272
447.5000,116.477,119.003,116.683,114.645,117.343,110.203,107.92
448.0000,113.626,116.006,113.909,111.758,114.524,107.361,105.306
448.5000,111.275,113.745,111.48,109.416,112.426,105.111,103.18
449.0000,108.788,111.203,109.094,106.876,109.99,102.802,100.869
449.5000,105.976,108.456,106.46,104.442,107.238,100.16,98.6929
450.0000,103.731,106.001,104.202,102.222,105.08,98.0827,96.7433
