XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1
404.0000,1117.53,1082.74,1053.79,1042.59,1019.47,1023.23,1008.02
404.5000,1099.02,1064.82,1036.42,1025.69,1003.21,1007.1,991.167
405.0000,1079.22,1045.42,1017.29,1006.47,984.869,988.831,972.761
405.5000,1057.25,1024.15,997.275,986.288,965.091,969.748,953.093
406.0000,1039.2,1007.3,980.569,969.559,948.903,953.203,937.148
406.5000,1019.94,988.41,962.15,951.298,931.026,935.206,919.473
407.0000,999.299,968.232,942.185,931.616,912.009,915.88,900.53
407.5000,980.346,949.927,924.615,913.596,894.909,899.244,883.803
408.0000,963.104,933.504,909.143,897.96,879.738,884.008,868.575
408.5000,942.884,914.353,890.592,879.25,861.609,865.478,850.764
409.0000,928.01,900.039,876.794,866.159,848.496,851.38,837.419
409.5000,908.692,881.414,858.356,848.452,830.774,834.013,820.205
410.0000,892.472,866.032,843.343,833.511,815.924,819.802,805.958
410.5000,874.839,849.351,827.345,817.148,800.252,804.221,790.356
411.0000,856.516,831.618,809.741,799.892,783.328,787.367,774.182
411.5000,841.632,816.993,795.41,785.677,769.671,773.302,760.977
412.0000,825.24,800.856,780.052,770.476,754.897,758.153,746.608
412.5000,807.238,783.872,762.996,754.24,738.924,742.344,730.873
413.0000,791.414,768.988,747.801,739.143,724.477,727.847,716.717
413.5000,777.298,755.319,734.276,725.877,711.468,714.749,703.609
414.0000,760.696,738.706,718.782,710.485,696.308,698.938,688.666
414.5000,748.351,726.577,707.187,698.463,685.349,687.316,677.18
415.0000,732.157,710.713,692.104,683.703,670.548,672.094,662.944
415.5000,719.031,697.706,679.683,671.36,658.513,659.948,650.981
416.0000,704.696,683.952,666.294,657.951,645.39,646.781,637.614
416.5000,689.377,668.782,651.656,643.397,631.267,632.521,623.671
417.0000,676.847,656.317,639.395,631.713,620.08,620.771,612.266
417.5000,662.779,643.209,626.271,619.041,607.206,608.294,599.817
418.0000,648.43,629.335,612.496,605.233,593.877,595.244,587.41
418.5000,636.47,617.804,601.193,594.321,583.181,584.688,576.533
419.0000,623.831,605.012,588.995,581.943,571.808,573.167,564.882
419.5000,610.348,591.424,575.914,569.063,558.969,560.603,552.275
420.0000,597.878,579.131,564.251,557.415,547.484,549.112,540.883
420.5000,586.688,568.241,553.539,547.132,537.397,539.149,530.585
421.0000,573.724,555.239,540.874,534.31,525.412,527.075,518.478
421.5000,564.087,545.666,531.698,525.296,516.552,518.338,509.992
422.0000,550.68,533.299,519.876,513.522,504.275,506.573,498.651
422.5000,538.251,521.273,508.378,502.415,493.121,494.981,487.593
423.0000,528.846,512.444,499.544,493.749,484.622,486.378,479.338
423.5000,517.352,500.529,488.117,482.4,473.696,475.877,468.766
424.0000,507.412,491.079,478.925,473.068,464.739,466.961,460.261
424.5000,496.4,481,469.147,463.022,455.059,457.465,450.777
425.0000,485.13,470.101,458.515,452.756,444.771,447.177,440.736
425.5000,476.281,460.986,449.798,443.953,436.188,438.69,432.493
426.0000,466.176,451.113,440.395,434.554,426.686,429.344,423.568
426.5000,455.445,440.901,430.176,424.07,416.899,419.949,414.127
427.0000,446.548,432.544,422.177,415.974,408.787,411.667,406.369
427.5000,437.094,423.27,413.435,407.342,399.973,402.894,397.984
428.0000,426.95,413.225,403.683,398.046,390.86,393.578,388.788
428.5000,418.458,405.279,395.654,390.169,383.641,385.775,381.251
429.0000,409.374,396.537,387.326,381.741,375.779,377.612,373.379
429.5000,399.824,387.128,378.431,372.463,367.169,368.948,364.913
430.0000,392.295,379.806,371.624,365.528,360.189,361.955,357.819
430.5000,383.792,371.964,363.923,357.676,352.712,354.217,350.269
431.0000,374.728,362.8,355.629,349.382,344.599,346.371,342.853
431.5000,367.026,355.889,348.582,342.453,337.902,339.808,336.492
432.0000,358.951,348.411,341.089,335.423,330.924,332.831,329.437
432.5000,350.361,340.3,332.883,327.012,323.148,325.317,321.599
433.0000,343.334,333.688,326.175,320.776,316.804,318.907,315.462
433.5000,335.882,326.329,318.844,313.949,309.717,312.118,308.953
434.0000,327.767,318.8,311.409,306.718,302.44,305.026,301.633
434.5000,321.295,312.578,305.474,300.83,296.536,299.225,295.768
435.0000,314.339,305.87,298.536,294.56,290.325,292.865,289.689
435.5000,306.667,298.298,291.577,287.555,283.418,285.912,282.871
436.0000,300.476,292.415,285.825,281.811,277.861,280.012,277.403
436.5000,293.646,286.092,279.486,275.896,271.801,274.23,271.459
437.0000,286.466,279.191,272.93,269.539,265.457,267.539,265.274
437.5000,280.714,273.414,267.674,264.336,260.398,262.344,260.384
438.0000,274.294,267.266,261.797,258.587,254.844,256.506,255.065
438.5000,267.558,260.679,255.497,252.61,248.809,250.517,249.186
439.0000,262.221,255.6,250.466,247.392,243.976,245.522,244.295
439.5000,256.658,250.065,245.041,241.582,238.991,240.251,238.905
440.0000,250.237,243.971,239.149,235.676,233.204,234.727,233.361
440.5000,245.429,239.079,234.499,231.244,228.668,230.067,228.832
441.0000,239.888,233.705,229.418,226.186,223.669,224.849,224.061
441.5000,233.889,227.98,223.947,221.059,218.668,219.46,218.61
442.0000,229.471,223.358,219.417,216.701,214.23,215.22,214.135
442.5000,224.205,218.224,214.596,211.877,209.341,210.409,209.546
443.0000,218.447,213.16,209.082,207.114,204.351,205.344,204.722
443.5000,213.924,208.775,204.998,203.169,200.568,201.404,200.542
444.0000,208.746,203.646,200.308,198.6,195.958,196.899,195.944
444.5000,204.096,198.734,195.639,194.349,191.531,192.51,191.608
445.0000,199.138,194.124,190.883,189.841,187.306,187.907,186.958
445.5000,195.191,190.346,187.074,186.141,183.52,184.38,183.305
446.0000,190.899,186.246,183.003,182.115,179.591,180.576,179.495
446.5000,186.068,181.722,178.59,177.828,175.374,176.455,175.102
447.0000,182.318,178.08,174.88,174.357,171.915,173.05,171.705
447.5000,178.014,174.014,170.79,170.424,167.959,169.246,168.12
448.0000,173.48,169.623,166.588,166.654,163.946,165.293,164.169
448.5000,169.803,166.334,163.254,163.275,160.664,161.961,160.791
449.0000,166.118,162.614,159.743,159.768,157.17,158.608,157.273
449.5000,162.076,158.711,155.861,155.891,153.404,155.034,153.582
450.0000,158.78,155.426,152.857,152.748,150.279,151.938,150.468
